CVE_ID,Tag,iscore,,cvss
CVE-2020-13878,directory traversal,2,,9.8
CVE-2020-13879,directory traversal,2,,9.8
CVE-2020-13880,directory traversal,2,,9.8
CVE-2020-26623,log forging,3,,3.8
CVE-2020-26624,log forging,3,,3.8
CVE-2020-26625,log forging,3,,3.8
CVE-2020-26627,directory traversal,2,,4.9
CVE-2020-26628,xss,7,,6.1
CVE-2020-26629,directory traversal,2,,9.8
CVE-2020-26630,log forging,3,,4.9
CVE-2020-36770,directory traversal,2,,9.8
CVE-2021-3600,directory traversal,2,,7.8
CVE-2021-40367,directory traversal,2,,7.8
CVE-2021-42028,directory traversal,2,,7.8
CVE-2021-45465,directory traversal,2,,7.8
CVE-2022-2081,directory traversal,2,,7.5
CVE-2022-2585,directory traversal,2,,5.3
CVE-2022-2588,directory traversal,2,,5.3
CVE-2022-2602,directory traversal,2,,5.3
CVE-2022-28975,cookie injection,1,,5.4
CVE-2022-3010,log forging,3,,7.5
CVE-2022-32919,directory traversal,2,,4.7
CVE-2022-32931,directory traversal,2,,5.5
CVE-2022-3328,directory traversal,2,,7.8
CVE-2022-34344,log forging,3,,5.4
CVE-2022-36352,directory traversal,2,,6.3
CVE-2022-36764,directory traversal,2,,7
CVE-2022-36765,directory traversal,2,,7
CVE-2022-40361,log forging,3,,6.1
CVE-2022-40696,directory traversal,2,,3.7
CVE-2022-42816,log forging,3,,5.5
CVE-2022-42839,directory traversal,2,,3.3
CVE-2022-45354,directory traversal,2,,5.3
CVE-2022-45793,directory traversal,2,,5.5
CVE-2022-45794,directory traversal,2,,8.6
CVE-2022-46025,log forging,3,,9.1
CVE-2022-46710,log forging,3,,5.5
CVE-2022-46721,directory traversal,2,,7.8
CVE-2022-46839,directory traversal,2,,10
CVE-2022-47915,directory traversal,2,,7.8
CVE-2022-47965,directory traversal,2,,7.8
CVE-2022-48504,directory traversal,2,,5.5
CVE-2022-48577,directory traversal,2,,5.5
CVE-2022-48619,log forging,3,,5.5
CVE-2022-48620,directory traversal,2,,9.8
CVE-2022-4958,xss,7,,3.5
CVE-2022-4959,xss,7,,3.5
CVE-2022-4960,xss,7,,3.5
CVE-2022-4961,sql injection,1,,5.5
CVE-2022-4962,directory traversal,2,,4.3
CVE-2023-0437,directory traversal,2,,5.3
CVE-2023-1032,directory traversal,2,,4.7
CVE-2023-2030,directory traversal,2,,3.5
CVE-2023-26157,directory traversal,2,,5.5
CVE-2023-26159,directory traversal,2,,7.3
CVE-2023-26998,directory traversal,2,,5.4
CVE-2023-26999,log forging,3,,9.8
CVE-2023-27000,directory traversal,2,,6.1
CVE-2023-27098,log forging,3,,7.5
CVE-2023-27739,directory traversal,2,,6.1
CVE-2023-28185,log forging,3,,5.5
CVE-2023-28197,directory traversal,2,,3.3
CVE-2023-28583,directory traversal,2,,6.7
CVE-2023-28897,directory traversal,2,,4
CVE-2023-28898,log forging,3,,5.3
CVE-2023-28899,log forging,3,,4.7
CVE-2023-29048,rce,5,,8.8
CVE-2023-29049,cookie injection,1,,5.4
CVE-2023-29050,cookie injection,1,,7.6
CVE-2023-29051,directory traversal,2,,8.1
CVE-2023-29052,log forging,3,,5.4
CVE-2023-29444,directory traversal,2,,6.3
CVE-2023-29445,directory traversal,2,,7.8
CVE-2023-29446,cookie injection,1,,4.7
CVE-2023-29447,directory traversal,2,,5.7
CVE-2023-29962,directory traversal,2,,6.5
CVE-2023-30014,directory traversal,2,,9.8
CVE-2023-30015,directory traversal,2,,9.8
CVE-2023-30016,directory traversal,2,,9.8
CVE-2023-30617,directory traversal,2,,6.5
CVE-2023-31001,rce,5,,5.1
CVE-2023-31003,rce,5,,8.4
CVE-2023-31024,log forging,3,,9
CVE-2023-31025,cookie injection,1,,6.5
CVE-2023-31029,log forging,3,,9.3
CVE-2023-31030,log forging,3,,9.3
CVE-2023-31031,log forging,3,,4.2
CVE-2023-31032,log forging,3,,7.5
CVE-2023-31033,log forging,3,,6.8
CVE-2023-31034,log forging,3,,6.6
CVE-2023-31035,log forging,3,,7.5
CVE-2023-31036,directory traversal,2,,7.5
CVE-2023-31211,directory traversal,2,,8.8
CVE-2023-31446,cookie injection,1,,9.8
CVE-2023-31488,rce,5,,9.8
CVE-2023-32366,directory traversal,2,,7.8
CVE-2023-32378,directory traversal,2,,7.8
CVE-2023-32383,cookie injection,1,,7.8
CVE-2023-32401,directory traversal,2,,7.8
CVE-2023-32424,directory traversal,2,,5.5
CVE-2023-32436,directory traversal,2,,7.1
CVE-2023-32650,directory traversal,2,,7
CVE-2023-32831,directory traversal,2,,5.5
CVE-2023-32872,directory traversal,2,,6.7
CVE-2023-32874,directory traversal,2,,9.8
CVE-2023-32875,directory traversal,2,,4.4
CVE-2023-32876,directory traversal,2,,4.4
CVE-2023-32877,directory traversal,2,,6.7
CVE-2023-32878,directory traversal,2,,4.4
CVE-2023-32879,directory traversal,2,,6.7
CVE-2023-32880,directory traversal,2,,4.4
CVE-2023-32881,directory traversal,2,,4.4
CVE-2023-32882,directory traversal,2,,6.7
CVE-2023-32883,directory traversal,2,,6.7
CVE-2023-32884,directory traversal,2,,6.7
CVE-2023-32885,directory traversal,2,,6.7
CVE-2023-32886,log forging,3,,7.5
CVE-2023-32887,log forging,3,,7.5
CVE-2023-32888,log forging,3,,7.5
CVE-2023-32889,log forging,3,,7.5
CVE-2023-32890,log forging,3,,7.5
CVE-2023-32891,directory traversal,2,,6.7
CVE-2023-33014,directory traversal,2,,7.6
CVE-2023-33025,directory traversal,2,,9.8
CVE-2023-33030,directory traversal,2,,9.3
CVE-2023-33032,directory traversal,2,,9.3
CVE-2023-33033,directory traversal,2,,8.4
CVE-2023-33036,directory traversal,2,,7.1
CVE-2023-33037,directory traversal,2,,7.1
CVE-2023-33038,directory traversal,2,,6.7
CVE-2023-33040,directory traversal,2,,7.5
CVE-2023-33062,directory traversal,2,,7.5
