"CVE_ID",cvss,Tag,iscore
"CVE-2015-1701","7.2",,
"CVE-2015-3113",10,,
"CVE-2015-3113",10,,
"CVE-2015-3113",10,,
"CVE-2015-5119",10,,
"CVE-2015-5119",10,,
"CVE-2016-1229","3.5",,
"CVE-2016-6662",10,,
"CVE-2016-7255","7.2",,
"CVE-2017-0176","9.3",,
"CVE-2017-8759","9.3",,
"CVE-2017-8759","9.3",,
"CVE-2017-8759","9.3",,
"CVE-2023-23397","9.8",,
"CVE-2023-21608","8.8",,
"CVE-2024-3400",10,,
"CVE-2024-1709",10,,
"CVE-2024-23113","9.8",,
"CVE-2022-40684","9.6",,
"CVE-2022-1388","9.8",,
"CVE-2023-23397","9.8",,
"CVE-2023-23397","9.8",,
"CVE-2024-21893","7.5",,
"CVE-2024-21893","7.5",,
"CVE-2023-23397","9.8",,
"CVE-2022-30190","7.8",,
"CVE-2023-36884","8.3",,
"CVE-2022-30190","7.8",,
"CVE-2024-21412","8.1",,
"CVE-2023-36802","7.8",,
"CVE-2023-36874","7.8",,
"CVE-2024-26229",7,,
"CVE-2022-21882",7,,
"CVE-2024-38063","9.8",,
"CVE-2023-36802","7.8",,
"CVE-2023-36802","7.8",,
"CVE-2024-26229",7,,
"CVE-2024-26229",7,,
"CVE-2023-21608","8.8",,
"CVE-2022-1388","9.8",,
"CVE-2024-21893","7.5",,
"CVE-2022-30190","7.8",,
"CVE-2023-36884","8.3",,
"CVE-2024-26229",7,,
"CVE-2024-26229",7,,
"CVE-2022-30190","7.8",,
"CVE-2023-38831","7.8",,
"CVE-2024-3400",10,,
"CVE-2022-21882",7,,
"CVE-2023-36802","7.8",,
"CVE-2020-10148","9.8",,
"CVE-2019-8452","6.5",,
"CVE-2021-26855","9.8",,
"CVE-2021-26857","7.8",,
"CVE-2021-26858","7.8",,
"CVE-2021-27065","7.8",,
"CVE-2020-1472",10,,
"CVE-2021-21972","9.8",,
"CVE-2021-21985","9.8",,
"CVE-2020-0688","8.8",,
"CVE-2020-10148","9.8",,
"CVE-2021-26855","9.8",,
"CVE-2020-0674","7.5",,
"CVE-2021-40444","8.8",,
"CVE-2021-26855","9.8",,
"CVE-2020-1472",10,,
"CVE-2020-1472",10,,
"CVE-2020-1472",10,,
"CVE-2020-1472",10,,
"CVE-2020-1472",10,,
"CVE-2021-31207","6.3",,
"CVE-2020-1472",10,,
"CVE-2021-21972","9.8",,
"CVE-2021-21972","9.8",,
"CVE-2021-21972","9.8",,
"CVE-2021-26855","9.8",,
"CVE-2021-26855","9.8",,
"CVE-2020-10148","9.8",,
"CVE-2021-26855","9.8",,
"CVE-2021-26857","7.8",,
"CVE-2020-0688","8.8",,
"CVE-2020-1472",10,,
"CVE-2021-26855","9.8",,
"CVE-2020-10148","9.8",,
"CVE-2021-26858","7.8",,
"CVE-2021-27065","7.8",,
"CVE-2020-10148","9.8",,
"CVE-2021-21972","9.8",,
"CVE-2021-21985","9.8",,
"CVE-2020-10148","9.8",,
"CVE-2020-10148","9.8",,
"CVE-2021-26855","9.8",,
"CVE-2020-10148","9.8",,
"CVE-2020-10148","9.8",,
"CVE-2021-26855","9.8",,
"CVE-2021-40444","8.8",,
"CVE-2021-40444","8.8",,
"CVE-2020-10148","9.8",,
"CVE-2021-26855","9.8",,
"CVE-2020-1472",10,,
"CVE-2021-26855","9.8",,
"CVE-2020-10148","9.8",,
"CVE-2020-1472",10,,
"CVE-2020-1472",10,,
"CVE-2020-0674","7.5",,
"CVE-2021-40444","8.8",,
"CVE-2020-10148","9.8",,
"CVE-2021-40444","8.8",,
"CVE-2020-0674","7.5",,
"CVE-2020-10148","9.8",,
"CVE-2021-26855","9.8",,
"CVE-2020-10148","9.8",,
"CVE-2021-40444","8.8",,
"CVE-2020-0674","7.5",,
"CVE-2015-3113",10,,
"CVE-2015-3113",10,,
"CVE-2015-3113",10,,
"CVE-2015-3113",10,,
"CVE-2015-3113",10,,
"CVE-2015-3113",10,,
"CVE-2015-5119",10,,
"CVE-2017-8625","6.8",,
"CVE-2017-8759","9.3",,
"CVE-2017-8759","9.3",,
"CVE-2017-8759","9.3",,
"CVE-2017-8759","9.3",,
"CVE-2017-8759","9.3",,
"CVE-2017-8759","9.3",,
"CVE-2017-8759","9.3",,
"CVE-2017-8759","9.3",,
"CVE-2017-8759","9.3",,
"CVE-2018-8174","7.6",,
"CVE-2023-34362","9.8",,
"CVE-2023-27997","9.8",,
"CVE-2024-4577","9.8",,
"CVE-2024-5910","9.3",,
"CVE-2023-36884","8.3",,
"CVE-2024-30078","8.8",,
"CVE-2022-37969","7.8",,
"CVE-2024-30088",7,,
"CVE-2024-4577","9.8",,
"CVE-2023-27997","9.8",,
"CVE-2024-3400",10,,
"CVE-2022-40684","9.6",,
"CVE-2024-23113","9.8",,
"CVE-2024-3400",10,,
"CVE-2024-5910","9.3",,
"CVE-2023-34362","9.8",,
"CVE-2024-3400",10,,
"CVE-2023-0669","7.2",,
"CVE-2023-27997","9.8",,
"CVE-2024-23113","9.8",,
"CVE-2023-38831","7.8",,
"CVE-2024-4577","9.8",,
"CVE-2022-27518","9.8",,
"CVE-2022-27518","9.8",,
"CVE-2023-38831","7.8",,
"CVE-2023-34362","9.8",,
"CVE-2024-3400",10,,
"CVE-2023-0669","7.2",,
"CVE-2024-21893","7.5",,
"CVE-2023-27997","9.8",,
"CVE-2024-3400",10,,
"CVE-2022-40684","9.6",,
"CVE-2024-38063","9.8",,
"CVE-2023-27997","9.8",,
"CVE-2024-3400",10,,
"CVE-2024-3400",10,,
"CVE-2024-30088",7,,
"CVE-2023-23397","9.8",,
"CVE-2024-21893","7.5",,
"CVE-2024-5910","9.3",,
"CVE-2021-44228",10,,
"CVE-2021-45046",9,,
"CVE-2021-34527","8.8",,
"CVE-2021-1675","7.8",,
"CVE-2021-44228",10,,
"CVE-2021-34527","8.8",,
"CVE-2021-34527","8.8",,
"CVE-2021-1675","7.8",,
"CVE-2021-34527","8.8",,
"CVE-2021-34527","8.8",,
"CVE-2021-44228",10,,
"CVE-2021-44228",10,,
"CVE-2021-44228",10,,
"CVE-2021-44228",10,,
"CVE-2021-34527","8.8",,
"CVE-2021-44228",10,,
"CVE-2021-44228",10,,
"CVE-2021-34527","8.8",,
"CVE-2021-34527","8.8",,
"CVE-2021-34527","8.8",,
"CVE-2021-34527","8.8",,
"CVE-2021-1675","7.8",,
"CVE-2021-44228",10,,
"CVE-2021-44228",10,,
"CVE-2021-44228",10,,
"CVE-2021-34527","8.8",,
"CVE-2021-44228",10,,
"CVE-2020-5902","9.8",,
"CVE-2021-1675","7.8",,
"CVE-2021-34527","8.8",,
"CVE-2019-5736","9.3",,
"CVE-2019-2215","4.6",,
"CVE-2019-1653",5,,
"CVE-2019-1652",9,,
"CVE-2019-16395","6.8",,
"CVE-2019-15949",9,,
"CVE-2019-1367","7.6",,
"CVE-2019-13382","9.3",,
"CVE-2019-1322","4.6",,
"CVE-2019-1315","7.2",,
"CVE-2019-1215","7.2",,
"CVE-2019-11707","7.5",,
"CVE-2019-1129","7.2",,
"CVE-2019-1064","7.2",,
"CVE-2019-0903","9.3",,
"CVE-2019-0880","4.6",,
"CVE-2019-0859","7.2",,
"CVE-2019-0841","7.2",,
"CVE-2019-0808","7.2",,
"CVE-2019-0803","7.2",,
"CVE-2019-0797","7.2",,
"CVE-2019-0708",10,,
"CVE-2019-0676","4.3",,
"CVE-2019-0604","6.5",,
"CVE-2019-0543","4.6",,
"CVE-2018-8639","7.2",,
"CVE-2018-7600","7.5",,
"CVE-2018-7445",10,,
"CVE-2018-6961","6.8",,
"CVE-2018-6065","6.8",,
"CVE-2018-2380","6.5",,
"CVE-2018-15133","6.8",,
"CVE-2018-14667","7.5",,
"CVE-2018-14558",10,,
"CVE-2018-1149",10,,
"CVE-2018-10562","7.5",,
"CVE-2018-10561","7.5",,
"CVE-2018-0802","9.3",,
"CVE-2018-0798","9.3",,
"CVE-2018-0529","4.3",,
"CVE-2017-9791","7.5",,
"CVE-2017-9248","7.5",,
"CVE-2017-7494",10,,
"CVE-2017-6884",9,,
"CVE-2017-6744",9,,
"CVE-2017-5638",10,,
"CVE-2017-18368",10,,
"CVE-2017-1099",4,,
"CVE-2017-0311","7.2",,
"CVE-2017-0007","2.1",,
"CVE-2016-7892",10,,
"CVE-2016-7836",10,,
"CVE-2016-7262","6.8",,
"CVE-2016-7256","9.3",,
"CVE-2016-7255","7.2",,
"CVE-2016-6662",10,,
"CVE-2016-6415",5,,
"CVE-2016-1229","3.5",,
"CVE-2016-10174",10,,
"CVE-2016-10033","7.5",,
"CVE-2016-0185","9.3",,
"CVE-2016-0099","7.2",,
"CVE-2015-6585","6.8",,
"CVE-2015-5477","7.8",,
"CVE-2015-1641","9.3",,
"CVE-2015-1701","7.2",,
"CVE-2015-5374","7.8",,
"CVE-2015-8651","9.3",,
"CVE-2016-0167","7.2",,
"CVE-2016-6662",10,,
"CVE-2017-0005","6.9",,
"CVE-2017-7269",10,,
"CVE-2017-8625","6.8",,
"CVE-2018-0798","9.3",,
"CVE-2018-4878","7.5",,
"CVE-2019-0604","6.5",,
"CVE-2019-0803","7.2",,
"CVE-2019-0859","7.2",,
"CVE-2019-5736","9.3",,
"CVE-2022-27518","9.8",,
"CVE-2023-0669","7.2",,
"CVE-2023-38831","7.8",,
"CVE-2023-34362","9.8",,
"CVE-2024-4577","9.8",,
"CVE-2023-34362","9.8",,
"CVE-2023-27997","9.8",,
"CVE-2024-3400",10,,
"CVE-2024-1709",10,,
"CVE-2024-1709",10,,
"CVE-2024-1709",10,,
"CVE-2022-27518","9.8",,
"CVE-2022-27518","9.8",,
"CVE-2024-5910","9.3",,
"CVE-2023-23397","9.8",,
"CVE-2024-5910","9.3",,
"CVE-2022-40684","9.6",,
"CVE-2024-3400",10,,
"CVE-2024-3400",10,,
"CVE-2022-21882",7,,
"CVE-2022-21882",7,,
"CVE-2022-21882",7,,
"CVE-2023-36802","7.8",,
"CVE-2023-36802","7.8",,
"CVE-2023-36802","7.8",,
"CVE-2024-23334","6.1",,
