Tech#,Tactics
T1001,Command and Control
T1003,Credential Access
T1005,Collection
T1006,Defense Evasion
T1007,Discovery
T1008,Command and Control
T1010,Discovery
T1011,Exfiltration
T1012,Discovery
T1014,Defense Evasion
T1016,Discovery
T1018,Discovery
T1020,Exfiltration
T1021,Lateral Movement
T1025,Collection
T1027,Defense Evasion
T1029,Exfiltration
T1030,Exfiltration
T1033,Discovery
T1036,Defense Evasion
T1037,"Persistence, Privilege Escalation"
T1039,Collection
T1040,"Credential Access, Discovery"
T1041,Exfiltration
T1046,Discovery
T1047,Execution
T1048,Exfiltration
T1049,Discovery
T1052,Exfiltration
T1053,"Execution, Persistence, Privilege Escalation"
T1055,"Defense Evasion, Privilege Escalation"
T1056,"Collection, Credential Access"
T1057,Discovery
T1059,Execution
T1068,Privilege Escalation
T1069,Discovery
T1070,Defense Evasion
T1071,Command and Control
T1072,"Execution, Lateral Movement"
T1074,Collection
T1078,"Defense Evasion, Initial Access, Persistence, Privilege Escalation"
T1080,Lateral Movement
T1082,Discovery
T1083,Discovery
T1087,Discovery
T1090,Command and Control
T1091,"Initial Access, Lateral Movement"
T1092,Command and Control
T1095,Command and Control
T1098,"Persistence, Privilege Escalation"
T1102,Command and Control
T1104,Command and Control
T1105,Command and Control
T1106,Execution
T1110,Credential Access
T1111,Credential Access
T1112,Defense Evasion
T1113,Collection
T1114,Collection
T1115,Collection
T1119,Collection
T1120,Discovery
T1123,Collection
T1124,Discovery
T1125,Collection
T1127,Defense Evasion
T1129,Execution
T1132,Command and Control
T1133,"Initial Access, Persistence"
T1134,"Defense Evasion, Privilege Escalation"
T1135,Discovery
T1136,Persistence
T1137,Persistence
T1140,Defense Evasion
T1176,Persistence
T1185,Collection
T1187,Credential Access
T1189,Initial Access
T1190,Initial Access
T1195,Initial Access
T1197,"Defense Evasion, Persistence"
T1199,Initial Access
T1200,Initial Access
T1201,Discovery
T1202,Defense Evasion
T1203,Execution
T1204,Execution
T1205,"Command and Control, Defense Evasion, Persistence"
T1207,Defense Evasion
T1210,Lateral Movement
T1211,Defense Evasion
T1212,Credential Access
T1213,Collection
T1216,Defense Evasion
T1217,Discovery
T1218,Defense Evasion
T1219,Command and Control
T1220,Defense Evasion
T1221,Defense Evasion
T1222,Defense Evasion
T1480,Defense Evasion
T1482,Discovery
T1484,"Defense Evasion, Privilege Escalation"
T1485,Impact
T1486,Impact
T1489,Impact
T1490,Impact
T1491,Impact
T1495,Impact
T1496,Impact
T1497,"Defense Evasion, Discovery"
T1498,Impact
T1499,Impact
T1505,Persistence
T1518,Discovery
T1525,Persistence
T1526,Discovery
T1528,Credential Access
T1529,Impact
T1530,Collection
T1531,Impact
T1534,Lateral Movement
T1535,Defense Evasion
T1537,Exfiltration
T1538,Discovery
T1539,Credential Access
T1542,"Defense Evasion, Persistence"
T1543,"Persistence, Privilege Escalation"
T1546,"Persistence, Privilege Escalation"
T1547,"Persistence, Privilege Escalation"
T1548,"Defense Evasion, Privilege Escalation"
T1550,"Defense Evasion, Lateral Movement"
T1552,Credential Access
T1553,Defense Evasion
T1554,Persistence
T1555,Credential Access
T1556,"Credential Access, Defense Evasion, Persistence"
T1557,"Collection, Credential Access"
T1558,Credential Access
T1559,Execution
T1560,Collection
T1561,Impact
T1562,Defense Evasion
T1563,Lateral Movement
T1564,Defense Evasion
T1565,Impact
T1566,Initial Access
T1567,Exfiltration
T1568,Command and Control
T1569,Execution
T1570,Lateral Movement
T1571,Command and Control
T1572,Command and Control
T1573,Command and Control
T1574,"Defense Evasion, Persistence, Privilege Escalation"
T1578,Defense Evasion
T1580,Discovery
T1583,Resource Development
T1584,Resource Development
T1585,Resource Development
T1586,Resource Development
T1587,Resource Development
T1588,Resource Development
T1589,Reconnaissance
T1590,Reconnaissance
T1591,Reconnaissance
T1592,Reconnaissance
T1593,Reconnaissance
T1594,Reconnaissance
T1595,Reconnaissance
T1596,Reconnaissance
T1597,Reconnaissance
T1598,Reconnaissance
T1599,Defense Evasion
T1600,Defense Evasion
T1601,Defense Evasion
T1602,Collection
T1606,Credential Access
T1608,Resource Development
T1609,Execution
T1610,"Defense Evasion, Execution"
T1611,Privilege Escalation
T1612,Defense Evasion
T1613,Discovery
T1614,Discovery
T1615,Discovery
T1619,Discovery
T1620,Defense Evasion
T1621,Credential Access
T1622,"Defense Evasion, Discovery"
T1647,Defense Evasion
T1648,Execution
T1649,Credential Access
T1650,Resource Development
T1651,Execution
T1652,Discovery
T1653,Persistence
T1654,Discovery
T1656,Defense Evasion
T1657,Impact
T1659,"Command and Control, Initial Access"
T1665,Command and Control
T1666,Defense Evasion
