Tech#,TechName,Tactic#,Tactics,Matrix,Platform
T1548,Abuse Elevation Control Mechanism,TA0004,Privilege Escalation,Enterprise,Linux;macOS;Windows;Network;Containers
T1548,Abuse Elevation Control Mechanism,TA0005,Defense Evasion,Enterprise,Linux;macOS;Windows;Network;Containers
T1134,Access Token Manipulation,TA0004,Privilege Escalation,Enterprise,Windows
T1134,Access Token Manipulation,TA0005,Defense Evasion,Enterprise,Windows
T1087,Account Discovery,TA0007,Discovery,Enterprise,Azure AD;Google Workspace;IaaS;Linux;macOS;Network;Office 365;SaaS;Windows
T1098,Account Manipulation,TA0003,Persistence,Enterprise,Azure AD;Google Workspace;IaaS;Linux;macOS;Network;Office 365;SaaS;Windows
T1098,Account Manipulation,TA0004,Privilege Escalation,Enterprise,Azure AD;Google Workspace;IaaS;Linux;macOS;Network;Office 365;SaaS;Windows
T1583,Acquire Infrastructure,TA0042,Resource Development,Enterprise,PRE
T1595,Active Scanning,TA0043,Reconnaissance,Enterprise,PRE
T1071,Application Layer Protocol,TA0011,Command and Control,Enterprise,Linux;macOS;Windows
T1010,Application Window Discovery,TA0007,Discovery,Enterprise,Linux;macOS;Windows
T1560,Archive Collected Data,TA0009,Collection,Enterprise,Linux;macOS;Windows
T1123,Audio Capture,TA0009,Collection,Enterprise,Linux;macOS;Windows
T1119,Automated Collection,TA0009,Collection,Enterprise,Linux;macOS;Windows
T1020,Automated Exfiltration,TA0010,Exfiltration,Enterprise,Linux;macOS;Windows
T1197,BITS Jobs,TA0005,Defense Evasion,Enterprise,Windows
T1197,BITS Jobs,TA0003,Persistence,Enterprise,Windows
T1547,Boot or Logon Autostart Execution,TA0003,Persistence,Enterprise,IaaS;Linux;macOS;Windows;Network;Containers
T1547,Boot or Logon Autostart Execution,TA0004,Privilege Escalation,Enterprise,IaaS;Linux;macOS;Windows;Network;Containers
T1037,Boot or Logon Initialization Scripts,TA0003,Persistence,Enterprise,Linux;macOS;Windows
T1037,Boot or Logon Initialization Scripts,TA0004,Privilege Escalation,Enterprise,Linux;macOS;Windows
T1217,Browser Information Discovery,TA0007,Discovery,Enterprise,Linux;macOS;Windows
T1176,Browser Extensions,TA0003,Persistence,Enterprise,Linux;macOS;Windows
T1110,Brute Force,TA0006,Credential Access,Enterprise,Azure AD;Containers;Google Workspace;IaaS;Linux;macOS;Network;Office 365;SaaS;Windows
T1612,Build Image on Host,TA0005,Defense Evasion,Enterprise,Containers
T1115,Clipboard Data,TA0009,Collection,Enterprise,Linux;macOS;Windows
T1580,Cloud Infrastructure Discovery,TA0007,Discovery,Enterprise,IaaS
T1538,Cloud Service Dashboard,TA0007,Discovery,Enterprise,Azure AD;Google Workspace;IaaS;Office 365;SaaS
T1526,Cloud Service Discovery,TA0007,Discovery,Enterprise,Azure AD;Google Workspace;IaaS;Office 365;SaaS
T1619,Cloud Storage Object Discovery,TA0007,Discovery,Enterprise,IaaS
T1059,Command and Scripting Interpreter,TA0002,Execution,Enterprise,Azure AD;Google Workspace;IaaS;Linux;macOS;Network;Office 365;SaaS;Windows;Containers
T1092,Communication Through Removable Media,TA0011,Command and Control,Enterprise,Linux;macOS;Windows
T1586,Compromise Accounts,TA0042,Resource Development,Enterprise,PRE
T1554,Compromise Client Software Binary,TA0003,Persistence,Enterprise,IaaS;Linux;macOS;Windows
