"CVE_ID",Tactics,Tag,ctatype,ctiscore,cvss,iscore,ttpID,ttppercent
"CVE-2023-23397","Initial Access","directory traversal",APT,5,"9.8",2,T1190,"41.28"
"CVE-2023-21608","Initial Access","directory traversal",APT,5,"8.8",2,T1190,"41.28"
"CVE-2023-21608","Initial Access","log forging",APT,5,"8.8",3,T1190,"41.28"
"CVE-2023-21608","Initial Access",xss,APT,5,"8.8",7,T1190,"41.28"
"CVE-2023-46805","Initial Access",rce,APT,5,"8.2",5,T1190,"41.28"
"CVE-2024-21887","Initial Access","cookie injection",APT,5,"9.1",1,T1190,"41.28"
"CVE-2024-3400","Initial Access","directory traversal",Malware,5,10,2,T1190,"41.28"
"CVE-2024-1709","Initial Access","directory traversal",Malware,5,10,2,T1190,"41.28"
"CVE-2024-23113","Initial Access",xss,Malware,5,"9.8",7,T1190,"41.28"
"CVE-2022-40684","Initial Access","directory traversal",Malware,5,"9.6",2,T1190,"41.28"
"CVE-2022-1388","Initial Access","directory traversal",APT,5,"9.8",2,T1190,"41.28"
"CVE-2023-23397","Initial Access","directory traversal",APT,5,"9.8",2,T1078,"41.28"
"CVE-2023-23397",Persistence,"directory traversal",APT,5,"9.8",2,T1078,"42.21"
"CVE-2024-21893","Privilege Escalation","directory traversal",APT,5,"7.5",2,T1078,"44.69"
"CVE-2024-21893","Defense Evasion","directory traversal",APT,5,"7.5",2,T1078,"27.82"
"CVE-2023-23397","Initial Access","directory traversal",APT,5,"9.8",2,T1566,"41.28"
"CVE-2022-30190","Initial Access",xss,APT,5,"7.8",7,T1566,"41.28"
"CVE-2022-30190","Initial Access","cookie injection",APT,5,"7.8",1,T1566,"41.28"
"CVE-2022-30190","Initial Access",rce,APT,5,"7.8",5,T1566,"41.28"
"CVE-2022-30190","Initial Access","log forging",APT,5,"7.8",3,T1566,"41.28"
"CVE-2023-36884","Initial Access","directory traversal",APT,5,"8.3",2,T1566,"41.28"
